证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
300006.SZ,医药制造业,2009/10/30,民营企业,,,立信会计师事务所有限公司,否,2013
300007.SZ,仪器仪表制造业,2009/10/30,民营企业,钟超,国内自然人,华普天健高商会计师事务所(北京)有限公司,否,2013
300008.SZ,专业技术服务业,2009/10/30,民营企业,,,北京京都天华会计师事务所有限责任公司,否,2013
300009.SZ,医药制造业,2009/10/30,民营企业,,,大信会计师事务有限公司,否,2013
300010.SZ,软件和信息技术服务业,2009/10/30,民营企业,,,开元信德会计师事务所有限公司,否,2013
300011.SZ,铁路、船舶、航空航天和其它运输设备制造业,2009/10/30,民营企业,,,北京永拓会计师事务所有限责任公司,否,2013
300012.SZ,专业技术服务业,2009/10/30,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300013.SZ,仓储业,2009/10/30,民营企业,王雅军,国内自然人,武汉众环会计师事务所有限责任公司,否,2013
300014.SZ,电气机械及器材制造业,2009/10/30,民营企业,刘金成,国内自然人,北京京都天华会计事务所有限责任公司,否,2013
300015.SZ,卫生,2009/10/30,民营企业,陈邦,国内自然人,深圳南方民和会计师事务所有限责任公司,否,2013
300016.SZ,医药制造业,2009/10/30,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
300017.SZ,软件和信息技术服务业,2009/10/30,民营企业,,,四川华信(集团)会计师事务所有限责任公司,否,2013
300018.SZ,电气机械及器材制造业,2009/10/30,民营企业,邓志刚,国内自然人,利安达会计师事务所有限责任公司,否,2013
300019.SZ,化学原料及化学制品制造业,2009/10/30,民营企业,,,北京五联方圆会计师事务所有限公司,否,2013
300020.SZ,软件和信息技术服务业,2009/10/30,民营企业,刘健,自然人,四川君和会计师事务所有限责任公司,否,2013
300021.SZ,橡胶和塑料制品业,2009/10/30,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
300022.SZ,零售业,2009/10/30,民营企业,,,华普天健高商会计师事务所(北京)有限公司,否,2013
300023.SZ,专用设备制造业,2009/10/30,民营企业,邢连鲜,国内自然人,浙江天健东方会计师事务所有限公司,否,2013
300024.SZ,通用设备制造业,2009/10/30,国有企业,,,中瑞岳华会计师事务所有限公司,否,2013
300025.SZ,软件和信息技术服务业,2009/10/30,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
300026.SZ,医药制造业,2009/10/30,民营企业,李占通,国内自然人,广东大华德律会计师事务所,否,2013
300027.SZ,广播、电视、电影和影视录音制作业,2009/10/30,民营企业,,,立信会计师事务所有限公司,否,2013
300028.SZ,计算机、通信和其他电子设备制造业,2009/10/30,民营企业,,,立信羊城会计师事务所有限公司,否,2013
300029.SZ,专用设备制造业,2009/12/25,民营企业,万俊平,国内自然人,江苏天衡会计师事务所有限公司,否,2013
300030.SZ,专用设备制造业,2009/12/25,民营企业,,,深圳市鹏城会计师事务所有限公司，乐清永安会计师事务所有限公司,否,2013
300031.SZ,橡胶和塑料制品业,2009/12/25,民营企业,,,天健会计师事务所有限公司,否,2013
300032.SZ,电气机械及器材制造业,2009/12/25,民营企业,金绍平,国内自然人,天职国际会计师事务所有限公司,否,2013
300033.SZ,软件和信息技术服务业,2009/12/25,民营企业,,,中准会计师事务所有限公司,否,2013
300034.SZ,有色金属冶炼和压延加工业,2009/12/25,国有企业,国务院国有资产监督管理委员会,中央机构,京都天华会计师事务所有限公司,否,2013
300035.SZ,专用设备制造业,2009/12/25,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300036.SZ,软件和信息技术服务业,2009/12/25,民营企业,,,利安达会计师事务所有限责任公司,否,2013
300037.SZ,化学原料及化学制品制造业,2010/1/8,民营企业,,,立信会计师事务所有限公司,否,2013
300038.SZ,计算机、通信和其他电子设备制造业,2010/1/8,民营企业,,,天健会计师事务所有限公司,否,2013
300039.SZ,医药制造业,2010/1/8,民营企业,,,大信会计师事务有限公司,否,2013
300040.SZ,电气机械及器材制造业,2010/1/8,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300041.SZ,化学原料及化学制品制造业,2010/1/8,民营企业,,,广东正中珠江会计师事务所有限公司,否,2013
300042.SZ,计算机、通信和其他电子设备制造业,2010/1/8,民营企业,,,广东大华德律会计师事务所,否,2013
300043.SZ,文教、工美、体育和娱乐用品制造业,2010/1/20,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
300044.SZ,软件和信息技术服务业,2010/1/20,民营企业,,,福建华兴会计师事务所有限公司,否,2013
300045.SZ,专用设备制造业,2010/1/20,民营企业,,,深圳南方民和会计师事务所有限责任公司,否,2013
300046.SZ,计算机、通信和其他电子设备制造业,2010/1/20,民营企业,邢雁,国内自然人,中瑞岳华会计师事务所有限公司,否,2013
300047.SZ,软件和信息技术服务业,2010/1/20,民营企业,,,中准会计师事务所,否,2013
300048.SZ,电气机械及器材制造业,2010/1/20,民营企业,刘锦成,国内自然人,开元信德会计师事务所有限公司,否,2013
300049.SZ,医药制造业,2010/1/20,民营企业,王冠一,国内自然人,天健光华(北京)会计师事务所有限公司,否,2013
300050.SZ,软件和信息技术服务业,2010/1/20,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300051.SZ,软件和信息技术服务业,2010/2/11,民营企业,,,天健光华(北京)会计师事务所有限公司,否,2013
300052.SZ,软件和信息技术服务业,2010/2/11,民营企业,李瑞杰,国内自然人,大信会计师事务有限公司,否,2013
300053.SZ,计算机、通信和其他电子设备制造业,2010/2/11,民营企业,,,天健正信会计师事务所有限公司,否,2013
