stkcd,year,st
600817,2008,1
600817,2009,1
600817,2010,1
600817,2011,1
600817,2012,1
600817,2013,1
600817,2014,1
600817,2015,1
600817,2016,1
600844,2002,1
600844,2003,1
600844,2004,1
600844,2005,1
600844,2006,1
600844,2007,1
600844,2008,1
600844,2009,1
600844,2010,1
600844,2011,1
600844,2012,1
600844,2013,1
600844,2014,1
600844,2015,1
600844,2016,1
600852,2002,1
600852,2003,1
600852,2004,1
600860,2002,1
600860,2003,1
600860,2004,1
600860,2005,1
600860,2006,1
600860,2007,1
600860,2008,1
600860,2009,1
600860,2010,1
600860,2011,1
600860,2012,1
600860,2013,1
600860,2014,1
600860,2015,1
600860,2016,1
600877,2002,1
600877,2003,1
600877,2004,1
600877,2005,1
600877,2006,1
600877,2007,1
600877,2008,1
600877,2009,1
600877,2010,1
600877,2011,1
600877,2012,1
600877,2013,1
600877,2014,1
600877,2015,1
600877,2016,1
600878,2002,1
600878,2003,1
600899,2002,1
600899,2003,1
600899,2004,1
601005,2006,1
601005,2007,1
601005,2008,1
601005,2009,1
601005,2010,1
601005,2011,1
601005,2012,1
601005,2013,1
601005,2014,1
601005,2015,1
601005,2016,1
601106,2009,1
601106,2010,1
601106,2011,1
601106,2012,1
601106,2013,1
601106,2014,1
601106,2015,1
601106,2016,1
601268,2009,1
601268,2010,1
601268,2011,1
601268,2012,1
601268,2013,1
601268,2014,1
601519,2010,1
601519,2011,1
601519,2012,1
601519,2013,1
601519,2014,1
601519,2015,1
601519,2016,1
601558,2010,1
601558,2011,1
601558,2012,1
601558,2013,1
601558,2014,1
601558,2015,1
601558,2016,1
900921,2002,1
900921,2003,1
900921,2004,1
900921,2005,1
900921,2006,1
900921,2007,1
900921,2008,1
900921,2009,1
900921,2010,1
900921,2011,1
900921,2012,1
900921,2013,1
900921,2014,1
900921,2015,1
900921,2016,1
900930,2002,1
900930,2003,1
900930,2004,1
900930,2005,1
900930,2006,1
900930,2007,1
900930,2008,1
900930,2009,1
900930,2010,1
900930,2011,1
900930,2012,1
900930,2013,1
900930,2014,1
900930,2015,1
900930,2016,1
900951,2002,1
900951,2003,1
900951,2004,1
900951,2005,1
900951,2006,1
900951,2007,1
900951,2008,1
900951,2009,1
900951,2010,1
900951,2011,1
900951,2012,1
900951,2013,1
900951,2014,1
900951,2015,1
900951,2016,1
