stkcd,year,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
000018,2002,C17,0.140953,0.180081,0.003159,0.005667,1539.381635,0,3,19.7462831523954,1,0.03344459333993812,0.3034968610481119
000018,2002,C17,0.140953,0.180081,0.003159,0.005667,1539.381635,1,3,19.7462831523954,1,0.03344459333993812,0.3034968610481119
000018,2003,C17,0.287607,0.201988,0.003992,0.009212,839.854897,0,3,19.782534507098532,1,0.03272933075332745,0.3725222533039479
000018,2003,C17,0.287607,0.201988,0.003992,0.009212,839.854897,1,3,19.782534507098532,1,0.03272933075332745,0.3725222533039479
000018,2004,C17,0.269286,0.352758,0.000908,0.099315,2598.286271,0,4,20.086626526112916,1,0.036854040493447766,0.3395045978927705
000018,2004,C17,0.269286,0.352758,0.000908,0.099315,2598.286271,1,4,20.086626526112916,1,0.036854040493447766,0.3395045978927705
000018,2005,C17,0.029223,0.415455,-0.089839,-0.154423,-17.275785,0,2,20.020775767203244,0,0.040048514353407796,0.3727131572805516
000018,2005,C17,0.029223,0.415455,-0.089839,-0.154423,-17.275785,1,2,20.020775767203244,0,0.040048514353407796,0.3727131572805516
000018,2006,C17,-0.115587,0.325078,0.044029,0.038594,41.561366,0,1,19.914879980848863,1,0.04016360047147976,0.29993126368761225
000018,2006,C17,-0.115587,0.325078,0.044029,0.038594,41.561366,1,1,19.914879980848863,1,0.04016360047147976,0.29993126368761225
000018,2007,C17,-0.569565,0.257033,-0.367843,-0.433129,-11.486191,0,1,19.25120252379817,0,0.040852870012663155,0.07533501427486444
000018,2007,C17,-0.569565,0.257033,-0.367843,-0.433129,-11.486191,1,1,19.25120252379817,0,0.040852870012663155,0.07533501427486444
000018,2008,C17,-0.547341,0.321194,-0.123385,-0.231806,-25.834815,0,0,19.077806114607945,0,0.023314307571021896,0.03243166652318173
000018,2008,C17,-0.547341,0.321194,-0.123385,-0.231806,-25.834815,1,0,19.077806114607945,0,0.023314307571021896,0.03243166652318173
000018,2009,C17,-0.413033,0.286865,0.059422,0.096285,124.185363,0,1,19.120397467729845,1,0.019872308238110214,0.016167452571633427
000018,2009,C17,-0.413033,0.286865,0.059422,0.096285,124.185363,1,1,19.120397467729845,1,0.019872308238110214,0.016167452571633427
000018,2010,C17,-0.660179,0.276472,0.011943,-0.013576,552.88452,0,1,19.092259075264035,1,0.01990595129772549,0.005191725546497231
000018,2010,C17,-0.660179,0.276472,0.011943,-0.013576,552.88452,1,1,19.092259075264035,1,0.01990595129772549,0.005191725546497231
000018,2011,C17,0.053403,0.3168,-0.0947,-0.169077,-44.558377,0,0,18.964392409137997,0,0.001446834329320722,0.005266926102606129
000018,2011,C17,0.053403,0.3168,-0.0947,-0.169077,-44.558377,1,0,18.964392409137997,0,0.001446834329320722,0.005266926102606129
000018,2012,C17,0.126409,0.316993,-0.001437,-0.001655,-4575.093141,0,1,18.963019900946296,0,0.020666529974900316,0.004919973369930774
000018,2012,C17,0.126409,0.316993,-0.001437,-0.001655,-4575.093141,1,1,18.963019900946296,0,0.020666529974900316,0.004919973369930774
000018,2013,C17,1.433291,0.269328,0.045838,0.06046,206.205368,0,6,18.954262212325318,1,0.02569718668942125,0
000018,2013,C17,1.433291,0.269328,0.045838,0.06046,206.205368,1,6,18.954262212325318,1,0.02569718668942125,0
000018,2014,C17,-0.592007,0.297661,0.024159,0.039676,1013.939775,0,4,19.032720385523753,1,0.017160328546577154,0
000018,2014,C17,-0.592007,0.297661,0.024159,0.039676,1013.939775,1,4,19.032720385523753,1,0.017160328546577154,0
