stkcd,year,lnfees,opinion_dum,downturn,ind,grev,lev,roa,roegrate,peratio,soe,saction,lnassets,loss,ndts,complex
600979,2014,13.864300722133706,1,1,D44,0.208903,0.684214,-0.03876,0.07284,-22.211684,1,4,22.5367987049301,0,0.02228125829357582,0.03327349819125947
600979,2015,13.933293593620657,0,1,D44,0.123835,0.694183,0.022687,0.018551,38.631197,1,1,22.587257047986892,1,0.02607415229594741,0.03721446479938972
600980,2005,12.542544882151386,0,0,C39,0.080738,0.219751,0.036787,0.049874,41.121692,1,2,19.999812094158095,1,0.0125929164909136,0.446911758967098
600980,2006,12.542544882151386,0,0,C39,0.175036,0.305903,0.019888,0.0043,68.105154,1,1,20.121104712446787,1,0.014222296962488418,0.40790153410050056
600980,2010,12.765688433465597,0,0,C39,0.542,0.283108,0.009537,0.029447,977.782204,1,1,19.8731710122989,1,0.04584228603373048,0.34018106614060956
600980,2011,12.765688433465597,0,1,C39,-0.128899,0.266677,-0.081525,-0.092904,-53.551565,1,0,19.753002530670045,0,0.055013210725489814,0.3234291544572997
600980,2009,12.765688433465597,0,1,C39,-0.127733,0.279297,-0.113551,-0.124632,-29.389895,1,1,19.838846703068736,0,0.04584912788002501,0.3852458850507453
600980,2007,12.542544882151386,0,0,C39,0.155742,0.364087,-0.094439,-0.117701,-25.257015,1,1,20.08343078125372,0,0.019590985218774143,0.31315067724096074
600980,2008,12.765688433465597,0,1,C39,-0.160283,0.257757,0.008644,0.013786,166.967786,1,0,19.94250721866913,1,0.03148379400488131,0.3478651936180678
600980,2012,13.304684934198283,0,1,C39,-0.049346,0.175159,-0.070691,-0.090019,-61.748265,1,1,19.54106759770205,0,0.0698598228012794,0.31735720902511105
600980,2013,13.122363377404328,0,1,C39,-0.082682,0.152805,0.042832,0.06887,109.243732,1,6,19.580928763799395,1,0.057626850684632636,0.32329275512348277
600980,2014,13.122363377404328,0,1,C39,-0.09563,0.273929,-0.09008,-0.16722,-66.983007,1,4,19.552226243872532,0,0.06161071136155296,0.24526044119500412
600980,2015,13.122363377404328,0,1,C39,0.806813,0.362231,0.053014,1.139219,96.327829,1,1,20.442339598371202,1,0.023964583242453544,0.32934770783680045
600980,2016,13.304684934198283,0,1,C39,-0.034552,0.328514,0.048355,0.078919,101.29835,1,4,20.46678135639046,1,0.021691387597422708,0.3741564067283128
600981,2006,13.541073712262515,0,0,F52,0.331731,0.618557,0.042433,0.063293,13.328781,1,1,21.39450488841612,1,0.009005894959109563,0.48297841790540574
600981,2007,13.304684934198283,0,0,F52,0.256443,0.60668,0.034121,0.370127,81.569547,1,1,21.67874762153398,1,0.006346037611937108,0.46303742572850864
600981,2008,13.304684934198283,0,1,F52,0.136918,0.542877,0.027717,-0.140878,29.237595,1,0,21.376574375794544,1,0.010699654456520772,0.4500362831574735
600981,2011,13.527828485512494,0,1,F52,0.352682,0.697477,0.025331,-0.004194,27.509307,1,0,21.91144388505635,1,0.006246787753433824,0.5083751856675861
600981,2009,13.304684934198283,0,1,F52,-0.072643,0.625239,0.040632,0.09641,40.377618,1,1,21.66727827998296,1,0.007826257195530496,0.3735007077745867
600981,2010,13.444446876573442,0,0,F52,0.132168,0.607607,0.03305,0.03483,40.762189,1,1,21.65554076458905,1,0.008164245864546811,0.48367782790106656
600981,2012,13.864300722133706,0,1,F51,-0.08677,0.739152,0.011022,-0.021375,52.00552,1,1,22.03805876186741,1,0.005382019460609518,0.5651370223799835
600981,2013,14.115615150414612,0,1,F51,0.255663,0.763641,0.009356,0.04816,52.337757,1,6,22.183679934525824,1,0.004335420477737717,0.550298651812441
600981,2015,14.498607402670718,0,1,F51,3.239597,0.725946,0.030212,7.237598,29.469565,1,1,24.171624148677555,1,0.0021408226007879312,0.3239475220679174
600981,2016,15.250595083253597,0,1,F51,-0.182853,0.702265,0.027026,0.069636,22.574019,1,4,24.15606655528678,1,0.0026557354189064215,0.2700215552672791
600982,2005,12.206072645530174,0,0,D44,1.526974,0.355556,0.04445,0.028161,27.880598,1,2,20.136969256636622,1,0.044402570842164195,0.14068458792089625
600982,2008,12.429216196844383,0,1,D44,0.031715,0.314189,0.050238,0.027315,23.614578,1,0,20.183559447445163,1,0.052128335119330745,0.12373561404941354
600982,2009,12.429216196844383,0,1,D44,0.073051,0.473465,0.067913,0.073733,32.873568,1,1,20.518984245762265,1,0.03254891295455661,0.03157587253853501
600982,2010,12.429216196844383,0,0,D44,-0.085211,0.418727,0.083514,0.492119,22.392306,1,1,20.820278330628298,1,0.010248755143668223,0.06409133834468607
600982,2011,12.429216196844383,0,1,D44,0.154526,0.42661,0.071714,0.166034,19.36969,1,0,20.987541941912397,1,0.023904620970068687,0.09071280854330019
600982,2012,13.017002861746503,0,1,D44,0.025474,0.413049,0.045902,0.284249,23.58096,1,1,21.214340812833267,1,0.03166373765431898,0.10358998958322435
600982,2013,13.122363377404328,0,1,D44,-0.240163,0.37478,0.093045,0.151892,12.103977,1,6,21.29258339641671,1,0.030206788892211508,0.027739501200367913
600982,2014,13.122363377404328,0,1,D44,0.424884,0.17173,0.077819,1.262914,30.286139,1,4,21.82800197716793,1,0.018789787242101983,0.036523711640247675
600982,2016,13.217673557208654,0,1,D44,0.210843,0.251722,0.028184,-0.009964,43.172153,1,4,21.967936190385593,1,0.025067005603780806,0.09532290572803448
600983,2008,13.217673557208654,0,1,C38,0.705986,0.424097,0.121079,0.124105,23.440726,0,0,20.842550083887726,1,0.020973830541167665,0.34499484779812983
600983,2008,13.217673557208654,0,1,C38,0.705986,0.424097,0.121079,0.124105,23.440726,1,0,20.842550083887726,1,0.020973830541167665,0.34499484779812983
600983,2009,13.217673557208654,0,1,C38,0.867257,0.597963,0.133075,0.226076,40.627327,0,1,21.405763633067156,1,0.011705349346841849,0.31889218874778874
600983,2009,13.217673557208654,0,1,C38,0.867257,0.597963,0.133075,0.226076,40.627327,1,1,21.405763633067156,1,0.011705349346841849,0.31889218874778874
600983,2010,13.38472764187182,0,0,C38,0.50893,0.669278,0.117382,0.316899,21.748656,0,1,21.876309997760004,1,0.009914775466025651,0.22834189761768478
600983,2010,13.38472764187182,0,0,C38,0.50893,0.669278,0.117382,0.316899,21.748656,1,1,21.876309997760004,1,0.009914775466025651,0.22834189761768478
600983,2011,13.527828485512494,0,1,C38,0.275928,0.646168,0.0933,0.255761,11.560533,0,0,22.03650783682851,1,0.010707729580397065,0.2561181439624034
600983,2011,13.527828485512494,0,1,C38,0.275928,0.646168,0.0933,0.255761,11.560533,1,0,22.03650783682851,1,0.010707729580397065,0.2561181439624034
600983,2007,12.89921982609012,0,0,C38,0.245108,0.251988,0.091402,0.067303,40.118833,0,1,20.464082541288896,1,0.029879289942482207,0.23526126344382606
600983,2007,12.89921982609012,0,0,C38,0.245108,0.251988,0.091402,0.067303,40.118833,1,1,20.464082541288896,1,0.029879289942482207,0.23526126344382606
600983,2012,13.997832114758229,0,1,C38,0.03169,0.611951,0.077768,0.20604,13.356369,0,1,22.131538490464237,1,0.012391834956581872,0.25327598241060145
600983,2012,13.997832114758229,0,1,C38,0.03169,0.611951,0.077768,0.20604,13.356369,1,1,22.131538490464237,1,0.012391834956581872,0.25327598241060145
600983,2013,13.997832114758229,0,1,C38,0.326107,0.660809,0.074335,0.211774,22.081305,0,6,22.458194392524003,1,0.010773106724759838,0.23613848165509851
600983,2013,13.997832114758229,0,1,C38,0.326107,0.660809,0.074335,0.211774,22.081305,1,6,22.458194392524003,1,0.010773106724759838,0.23613848165509851
600983,2014,14.115615150414612,0,1,C38,0.033707,0.445415,0.044952,1.133156,32.106352,0,4,22.724138561315396,1,0.009611031123820278,0.2239896526030483
600983,2014,14.115615150414612,0,1,C38,0.033707,0.445415,0.044952,1.133156,32.106352,1,4,22.724138561315396,1,0.009611031123820278,0.2239896526030483
600983,2015,14.077874822431765,0,1,C38,-0.006655,0.446834,0.047615,0.080071,28.611381,0,1,22.803728126985337,1,0.010529045337133069,0.2691344543029213
